;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Informações do Empreendimento;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Financiamento da Obra;;;;;;;;;;;;;Informações das Unidades;;;;;;;;;;;;;;;;;;;;;;;;;;Financiamento ao Comprador;;;;;
RGI;Código no Mapa;Empreendimento;Edifício;Zona de Valor;Endereço;Bairro;Distrito;Região;Cidade;UF;CEP;Zoneamento;Setor;Quadra;Data Lançamento;Data Entrega;Data Ocupação;Data Projeto Aprovado;Tipologia;Classificação do tipo;Padrão;Status;Área Terreno;Área Total Construída;Torres;Nº de Elevadores;Registro de Incorporação;Infraestrutura;Grupo Incorporador Apelido;Grupo Incorporador;Incorporadora 1;Incorporadora 2;Incorporadora 3;Incorporadora 4;Construtora 1;Construtora 2;Vendedora 1;Vendedora 2;Vendedora 3;Vendedora 4;Banco;Unidade;Dormitórios;Suítes;Banheiros;Nº Vagas;Área Privativa;Área Total;Nº Total de Unidades;Nº Unidades por Pavimento;Nº de Pavimentos;Valor do Dolar no lançamento;(VMU)Preço de venda da unidade no lançamento;(VUV)Preço m2 privativo no lançamento;(VMU)Preço de venda da unidade atualizado INCC;(VUV)Preço m2 privativo atualizado INCC;(VMU)Preço de venda da unidade atualizado IGPM;(VUV)Preço m2 privativo atualizado IGPM;(VMU)Preço de venda da unidade atualizado CUB;(VUV)Preço m2 privativo atualizado CUB;(VMU)Preço de venda da unidade na data pesquisa;(VUV)Preço m2 privativo na data pesquisa;% Unidades Vendidas;% Unidades a Vender;Unidades Vendidas;Qtd em Estoque;VGV;Modalidade;Banco;Condições de pagamento;Responsabilidade do Comprador;Data Pesquisa;Observações
311661117;1;AF ESPLENDORE;;SOROCABA - SP;R AMERICO BRASILIENSE, 426;VILA HARO;SEM DISTRITO;;SOROCABA;SP;18015-293;ZC;0;0;mai/17;dez/19;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;1.150,00;;1;2;;Churrasqueira, Espaco Gourmet, Salao de Festas,;AF;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;;;;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;;;;;2 DORMS;2;1;2;2;65,00;97,50;40;4;11;3,21;207.251,00;3.188,48;218.127,44;3.355,81;221.234,36;3.403,61;215.584,23;3.316,68;225.000,00;3.461,54;37,50;62,50;15;25;8.290.040,00;Preço Fechado;;;;06/09/2018;(15) 99813-7129. CG 30/07/2018: Ficha atualizada. Nao encontrei Fotos.
311661117;1;AF ESPLENDORE;;SOROCABA - SP;R AMERICO BRASILIENSE, 426;VILA HARO;SEM DISTRITO;;SOROCABA;SP;18015-293;ZC;0;0;mai/17;dez/19;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-C/ELEVADOR;EM OBRAS;1.150,00;;1;2;;Churrasqueira, Espaco Gourmet, Salao de Festas,;AF;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;;;;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;;AF EMPREENDIMENTOS IMOBILIARIOS LTDA;;;;;2 DORMS;2;1;2;1;65,00;97,50;4;4;11;3,21;183.300,00;2.820,00;192.919,50;2.967,99;195.667,37;3.010,27;190.670,20;2.933,39;215.000,00;3.307,69;0,00;100,00;0;4;733.200,00;Preço Fechado;;;;06/09/2018;
324011015;2;ALICE RESIDENCIAL;;SOROCABA - SP;R JOAO CORDEIRO, 255;VILA PROGRESSO;SEM DISTRITO;;SOROCABA;SP;18090-360;;0;0;abr/15;mar/16;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;PRONTO;731,43;;1;1;R3 da matrícula N° 135.302;Espaco Gourmet,;ALICE;ALICE EMPREENDIMENTOS;ALICE EMPREENDIMENTOS;;;;ALICE EMPREENDIMENTOS;;CASABRANCA MERCADO IMOBILIARIO;;;;;2 DORMS;2;1;2;1;73,00;190,05;10;4;5;3,04;235.510,00;3.226,16;281.398,36;3.854,77;284.815,15;3.901,57;271.933,27;3.725,11;280.000,00;3.835,62;100,00;0,00;10;0;2.355.100,00;Preço Fechado;;;;15/03/2018;Sem maiores informacoes
324011015;2;ALICE RESIDENCIAL;;SOROCABA - SP;R JOAO CORDEIRO, 255;VILA PROGRESSO;SEM DISTRITO;;SOROCABA;SP;18090-360;;0;0;abr/15;mar/16;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;PRONTO;731,43;;1;1;R3 da matrícula N° 135.302;Espaco Gourmet,;ALICE;ALICE EMPREENDIMENTOS;ALICE EMPREENDIMENTOS;;;;ALICE EMPREENDIMENTOS;;CASABRANCA MERCADO IMOBILIARIO;;;;;2 DORMS;2;1;2;2;73,00;109,05;10;4;5;3,04;263.110,00;3.604,25;314.376,14;4.306,53;318.193,34;4.358,82;303.801,81;4.161,67;280.000,00;3.835,62;100,00;0,00;10;0;2.631.100,00;Preço Fechado;;;;30/11/2017;
36231716;3;ALTOS DO PACO;;SOROCABA - SP;R JOSE RUSCONI FRANCISCO, 150;JARDIM DO PACO;SEM DISTRITO;;SOROCABA;SP;18087-095;ZPI;0;0;set/16;nov/16;;;Res. Vertical;MEDIO BAIXO;PADRAO MEDIO-C/ELEVADOR;PRONTO;1.200,00;;1;1;;Salao de Festas, Playground,;COMATT;COMATT CONSTRUTORA E INCORPORADORA;COMATT CONSTRUTORA E INCORPORADORA;;;;COMATT CONSTRUTORA E INCORPORADORA;;COMATT CONSTRUTORA E INCORPORADORA;;;;;2 DORMS;2;1;2;1;68,88;103,32;24;4;6;3,26;245.000,00;3.556,91;264.506,87;3.840,11;259.883,63;3.772,99;257.576,52;3.739,50;249.000,00;3.614,98;75,00;25,00;18;6;5.880.000,00;Preço de Custo;;;;18/09/2018;(15) 9 9201-5728. AB 30/07/2018 FICHA OK
32273218;4;ALVORADA;;SOROCABA - SP;AV BETANIA, 800;JARDIM BETANIA;SEM DISTRITO;;SOROCABA;SP;18071-590;ZR 3;0;0;mai/17;mar/19;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;830,00;;1;1;;;L FURTADO;L FURTADO CONSTRUTORA;L FURTADO CONSTRUTORA;;;;L FURTADO CONSTRUTORA;;L FURTADO CONSTRUTORA;HAREA NEGOCIOS IMOBILIARIOS;;;;TERREO;2;0;1;1;52,00;78,00;1;6;3;3,21;150.480,00;2.893,85;158.377,12;3.045,72;160.632,98;3.089,10;156.530,56;3.010,21;164.990,00;3.172,88;0,00;100,00;0;1;150.480,00;Preço Fechado;;;;24/09/2018;
32273218;4;ALVORADA;;SOROCABA - SP;AV BETANIA, 800;JARDIM BETANIA;SEM DISTRITO;;SOROCABA;SP;18071-590;ZR 3;0;0;mai/17;mar/19;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;830,00;;1;1;;;L FURTADO;L FURTADO CONSTRUTORA;L FURTADO CONSTRUTORA;;;;L FURTADO CONSTRUTORA;;L FURTADO CONSTRUTORA;HAREA NEGOCIOS IMOBILIARIOS;;;;TERREO;2;0;1;1;50,00;75,00;4;6;3;3,21;149.512,00;2.990,24;157.358,32;3.147,17;159.599,67;3.191,99;155.523,64;3.110,47;171.000,00;3.420,00;100,00;0,00;4;0;598.048,00;Preço Fechado;;;;24/09/2018;
32273218;4;ALVORADA;;SOROCABA - SP;AV BETANIA, 800;JARDIM BETANIA;SEM DISTRITO;;SOROCABA;SP;18071-590;ZR 3;0;0;mai/17;mar/19;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;830,00;;1;1;;;L FURTADO;L FURTADO CONSTRUTORA;L FURTADO CONSTRUTORA;;;;L FURTADO CONSTRUTORA;;L FURTADO CONSTRUTORA;HAREA NEGOCIOS IMOBILIARIOS;;;;1 DORM;1;0;1;1;42,20;63,30;3;6;3;3,21;131.991,00;3.127,75;138.917,83;3.291,89;140.896,52;3.338,78;137.298,15;3.253,51;149.990,00;3.554,27;66,67;33,33;2;1;395.973,00;Preço Fechado;;;;24/09/2018;
32273218;4;ALVORADA;;SOROCABA - SP;AV BETANIA, 800;JARDIM BETANIA;SEM DISTRITO;;SOROCABA;SP;18071-590;ZR 3;0;0;mai/17;mar/19;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;830,00;;1;1;;;L FURTADO;L FURTADO CONSTRUTORA;L FURTADO CONSTRUTORA;;;;L FURTADO CONSTRUTORA;;L FURTADO CONSTRUTORA;HAREA NEGOCIOS IMOBILIARIOS;;;;2 DORMS;2;0;1;1;50,00;75,00;12;6;3;3,21;149.512,00;2.990,24;157.358,32;3.147,17;159.599,67;3.191,99;155.523,64;3.110,47;166.990,00;3.339,80;83,33;16,67;10;2;1.794.144,00;Preço Fechado;;;;24/09/2018;
32273218;4;ALVORADA;;SOROCABA - SP;AV BETANIA, 800;JARDIM BETANIA;SEM DISTRITO;;SOROCABA;SP;18071-590;ZR 3;0;0;mai/17;mar/19;;;Res. Vertical;ECONOMICO;PADRAO MEDIO-S/ELEVADOR;EM OBRAS;830,00;;1;1;;;L FURTADO;L FURTADO CONSTRUTORA;L FURTADO CONSTRUTORA;;;;L FURTADO CONSTRUTORA;;L FURTADO CONSTRUTORA;HAREA NEGOCIOS IMOBILIARIOS;;;;2 DORMS;2;0;1;1;52,00;78,00;3;6;3;3,21;150.480,00;2.893,85;158.377,12;3.045,72;160.632,98;3.089,10;156.530,56;3.010,21;168.990,00;3.249,81;66,67;33,33;2;1;451.440,00;Preço Fechado;;;;24/09/2018;
