RGI;Total Unidades;(VMU)Preço de venda da unidade na data pesquisa;(VUV)Preço m2 privativo na data pesquisa;% Vendido no Intervalo;% Valorização;Unidades Vendidas no Intervalo;Intervalo em Mêses;% Unidades Vendidas;% Unidades a Vender;Unidades Vendidas;Qtd em Estoque;Data Pesquisa
8918;26;190300;3.558.339.566.193;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;26;190300;3.558.339.566.193;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;26;190300;3.558.339.566.193;0.1538;0;4;-66;0.1538;0.8462;4;22;06/10/2015
8918;26;190300;3.558.339.566.193;0.1538;0;4;-66;0.1538;0.8462;4;22;06/10/2015
8918;26;194200;36.312.640.239.342;0.1538;0.020493956910142;4;-124;0.1538;0.8462;4;22;03/12/2015
8918;26;194200;36.312.640.239.342;0.1538;0.020493956910142;4;-124;0.1538;0.8462;4;22;03/12/2015
8918;26;194200;36.312.640.239.342;0.1538;0.020493956910142;4;-198;0.1538;0.8462;4;22;15/02/2016
8918;26;194200;36.312.640.239.342;0.1538;0.020493956910142;4;-198;0.1538;0.8462;4;22;15/02/2016
8918;26;189900;35.508.601.346.298;0.1538;-0.0021019442984761;4;-235;0.1538;0.8462;4;22;23/03/2016
8918;26;189900;35.508.601.346.298;0.1538;-0.0021019442984761;4;-235;0.1538;0.8462;4;22;23/03/2016
8918;26;197600;36.948.391.922.214;0.2308;0.038360483447189;6;-262;0.2308;0.7692;6;20;19/04/2016
8918;26;197600;36.948.391.922.214;0.2308;0.038360483447189;6;-262;0.2308;0.7692;6;20;19/04/2016
8918;26;197600;36.948.391.922.214;0.2308;0.038360483447189;6;-291;0.2308;0.7692;6;20;18/05/2016
8918;26;197600;36.948.391.922.214;0.2308;0.038360483447189;6;-291;0.2308;0.7692;6;20;18/05/2016
8918;26;197600;36.948.391.922.214;0.2692;0.038360483447189;7;-333;0.2692;0.7308;7;19;29/06/2016
8918;26;197600;36.948.391.922.214;0.2692;0.038360483447189;7;-333;0.2692;0.7308;7;19;29/06/2016
8918;26;197600;36.948.391.922.214;0.2692;0.038360483447189;7;-352;0.2692;0.7308;7;19;18/07/2016
8918;26;197600;36.948.391.922.214;0.2692;0.038360483447189;7;-352;0.2692;0.7308;7;19;18/07/2016
8918;26;197600;36.948.391.922.214;0.3077;0.038360483447189;8;-391;0.3077;0.6923;8;18;26/08/2016
8918;26;197600;36.948.391.922.214;0.3077;0.038360483447189;8;-391;0.3077;0.6923;8;18;26/08/2016
8918;26;197600;36.948.391.922.214;0.3462;0.038360483447189;9;-418;0.3462;0.6538;9;17;22/09/2016
8918;26;197600;36.948.391.922.214;0.3462;0.038360483447189;9;-418;0.3462;0.6538;9;17;22/09/2016
8918;26;197600;36.948.391.922.214;0.3462;0.038360483447189;9;-460;0.3462;0.6538;9;17;03/11/2016
8918;26;197600;36.948.391.922.214;0.3462;0.038360483447189;9;-460;0.3462;0.6538;9;17;03/11/2016
8918;26;197600;36.948.391.922.214;0.3846;0.038360483447189;10;-516;0.3846;0.6154;10;16;29/12/2016
8918;26;197600;36.948.391.922.214;0.3846;0.038360483447189;10;-516;0.3846;0.6154;10;16;29/12/2016
8918;26;197600;36.948.391.922.214;0.3846;0.038360483447189;10;-521;0.3846;0.6154;10;16;03/01/2017
8918;26;197600;36.948.391.922.214;0.3846;0.038360483447189;10;-521;0.3846;0.6154;10;16;03/01/2017
8918;26;197600;36.948.391.922.214;0.3846;0.038360483447189;10;-583;0.3846;0.6154;10;16;06/03/2017
8918;26;197600;36.948.391.922.214;0.3846;0.038360483447189;10;-583;0.3846;0.6154;10;16;06/03/2017
8918;26;197600;36.948.391.922.214;0.4231;0.038360483447189;11;-643;0.4231;0.5769;11;15;05/05/2017
8918;26;197600;36.948.391.922.214;0.4231;0.038360483447189;11;-643;0.4231;0.5769;11;15;05/05/2017
8918;26;197600;36.948.391.922.214;0.9615;0.038360483447189;25;-795;0.9615;0.0385;25;1;04/10/2017
8918;26;197600;36.948.391.922.214;0.9615;0.038360483447189;25;-795;0.9615;0.0385;25;1;04/10/2017
8918;26;197600;36.948.391.922.214;1;0.038360483447189;26;-943;1;0;26;0;01/03/2018
8918;26;197600;36.948.391.922.214;1;0.038360483447189;26;-943;1;0;26;0;01/03/2018
8918;26;177600;36.445.721.321.568;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;26;177600;36.445.721.321.568;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;26;177600;36.445.721.321.568;0.1154;0;3;-66;0.1154;0.8846;3;23;06/10/2015
8918;26;177600;36.445.721.321.568;0.1154;0;3;-66;0.1154;0.8846;3;23;06/10/2015
8918;26;185100;37.984.814.282.783;0.1154;0.04222972972973;3;-124;0.1154;0.8846;3;23;03/12/2015
8918;26;185100;37.984.814.282.783;0.1154;0.04222972972973;3;-124;0.1154;0.8846;3;23;03/12/2015
8918;26;185100;37.984.814.282.783;0.1154;0.04222972972973;3;-198;0.1154;0.8846;3;23;15/02/2016
8918;26;185100;37.984.814.282.783;0.1154;0.04222972972973;3;-198;0.1154;0.8846;3;23;15/02/2016
8918;26;179900;36.917.709.829.674;0.1538;0.012950450450451;4;-235;0.1538;0.8462;4;22;23/03/2016
8918;26;179900;36.917.709.829.674;0.1538;0.012950450450451;4;-235;0.1538;0.8462;4;22;23/03/2016
8918;26;188300;38.641.493.946.234;0.1923;0.060247747747748;5;-262;0.1923;0.8077;5;21;19/04/2016
8918;26;188300;38.641.493.946.234;0.1923;0.060247747747748;5;-262;0.1923;0.8077;5;21;19/04/2016
8918;26;188300;38.641.493.946.234;0.1923;0.060247747747748;5;-291;0.1923;0.8077;5;21;18/05/2016
8918;26;188300;38.641.493.946.234;0.1923;0.060247747747748;5;-291;0.1923;0.8077;5;21;18/05/2016
8918;26;188300;38.641.493.946.234;0.2308;0.060247747747748;6;-333;0.2308;0.7692;6;20;29/06/2016
8918;26;188300;38.641.493.946.234;0.2308;0.060247747747748;6;-333;0.2308;0.7692;6;20;29/06/2016
8918;26;188300;38.641.493.946.234;0.2308;0.060247747747748;6;-352;0.2308;0.7692;6;20;18/07/2016
8918;26;188300;38.641.493.946.234;0.2308;0.060247747747748;6;-352;0.2308;0.7692;6;20;18/07/2016
8918;26;188300;38.641.493.946.234;0.3077;0.060247747747748;8;-391;0.3077;0.6923;8;18;26/08/2016
8918;26;188300;38.641.493.946.234;0.3077;0.060247747747748;8;-391;0.3077;0.6923;8;18;26/08/2016
8918;26;188300;38.641.493.946.234;0.3462;0.060247747747748;9;-418;0.3462;0.6538;9;17;22/09/2016
8918;26;188300;38.641.493.946.234;0.3462;0.060247747747748;9;-418;0.3462;0.6538;9;17;22/09/2016
8918;26;188300;38.641.493.946.234;0.3462;0.060247747747748;9;-460;0.3462;0.6538;9;17;03/11/2016
8918;26;188300;38.641.493.946.234;0.3462;0.060247747747748;9;-460;0.3462;0.6538;9;17;03/11/2016
8918;26;188300;38.641.493.946.234;0.3846;0.060247747747748;10;-516;0.3846;0.6154;10;16;29/12/2016
8918;26;188300;38.641.493.946.234;0.3846;0.060247747747748;10;-516;0.3846;0.6154;10;16;29/12/2016
8918;26;188300;38.641.493.946.234;0.3846;0.060247747747748;10;-521;0.3846;0.6154;10;16;03/01/2017
8918;26;188300;38.641.493.946.234;0.3846;0.060247747747748;10;-521;0.3846;0.6154;10;16;03/01/2017
8918;26;188300;38.641.493.946.234;0.3846;0.060247747747748;10;-583;0.3846;0.6154;10;16;06/03/2017
