"RGI	Código no Mapa	Empreendimento	Edifício	Zona de Valor	Endereço	Bairro	Distrito	Região	Cidade	UF	CEP	Zoneamento	Setor	Quadra	Data Lançamento	Data Entrega	Data Ocupação	Data Projeto Aprovado	Tipologia	Classificação do tipo	Padrão	Status	Área Terreno	Área Total Construída	Torres	Nº de Elevadores	Registro de Incorporação	Infraestrutura	Grupo Incorporador Apelido	Grupo Incorporador	Incorporadora 1	Incorporadora 2	Incorporadora 3	Incorporadora 4	Construtora 1	Construtora 2	Vendedora 1	Vendedora 2	Vendedora 3	Vendedora 4	Banco	Unidade	Dormitórios	Suítes	Banheiros	Nº Vagas	Área Privativa	Área Total	Nº Total de Unidades	Nº Unidades por Pavimento	Nº de Pavimentos	Valor do Dolar no lançamento	(VMU)Preço de venda da unidade no lançamento	(VUV)Preço m2 privativo no lançamento	(VMU)Preço de venda da unidade atualizado INCC	(VUV)Preço m2 privativo atualizado INCC	(VMU)Preço de venda da unidade atualizado IGPM	(VUV)Preço m2 privativo atualizado IGPM	(VMU)Preço de venda da unidade atualizado CUB	(VUV)Preço m2 privativo atualizado CUB	(VMU)Preço de venda da unidade na data pesquisa	(VUV)Preço m2 privativo na data pesquisa	% Unidades Vendidas	% Unidades a Vender	Unidades Vendidas	Qtd em Estoque	VGV	Modalidade	Banco	Condições de pagamento	Responsabilidade do Comprador	Data Pesquisa";
"311661117	1	AF ESPLENDORE		SOROCABA - SP	R AMERICO BRASILIENSE. 426	VILA HARO	SEM DISTRITO		SOROCABA	SP	18015-293	ZC	0	0	42856	43800	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	EM OBRAS	1150		1	2		Churrasqueira. Espaco Gourmet. Salao de Festas.	AF	AF EMPREENDIMENTOS IMOBILIARIOS LTDA	AF EMPREENDIMENTOS IMOBILIARIOS LTDA				AF EMPREENDIMENTOS IMOBILIARIOS LTDA		AF EMPREENDIMENTOS IMOBILIARIOS LTDA					2 DORMS	2	1	2	2	65	97.5	40	4	11	32.087	207251	3188.48	218127.44	3355.81	221234.36	3403.61	215584.23	3316.68	225000	3461.54	37.5	62.5	15	25	8290040	Preço Fechado				43349";
"311661117	1	AF ESPLENDORE		SOROCABA - SP	R AMERICO BRASILIENSE. 426	VILA HARO	SEM DISTRITO		SOROCABA	SP	18015-293	ZC	0	0	42856	43800	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-C/ELEVADOR	EM OBRAS	1150		1	2		Churrasqueira. Espaco Gourmet. Salao de Festas.	AF	AF EMPREENDIMENTOS IMOBILIARIOS LTDA	AF EMPREENDIMENTOS IMOBILIARIOS LTDA				AF EMPREENDIMENTOS IMOBILIARIOS LTDA		AF EMPREENDIMENTOS IMOBILIARIOS LTDA					2 DORMS	2	1	2	1	65	97.5	4	4	11	32.087	183300	2820	192919.5	2967.99	195667.37	3010.27	190670.2	2933.39	215000	3307.69	0	100	0	4	733200	Preço Fechado				43349";
"324011015	2	ALICE RESIDENCIAL		SOROCABA - SP	R JOAO CORDEIRO. 255	VILA PROGRESSO	SEM DISTRITO		SOROCABA	SP	18090-360		0	0	42095	42430	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	PRONTO	731.43		1	1	R3 da matrícula N° 135.302	Espaco Gourmet.	ALICE	ALICE EMPREENDIMENTOS	ALICE EMPREENDIMENTOS				ALICE EMPREENDIMENTOS		CASABRANCA MERCADO IMOBILIARIO					2 DORMS	2	1	2	1	73	190.05	10	4	5	304.322	235510	3226.16	281398.36	3854.77	284815.15	3901.57	271933.27	3725.11	280000	3835.62	100	0	10	0	2355100	Preço Fechado				43174";
"324011015	2	ALICE RESIDENCIAL		SOROCABA - SP	R JOAO CORDEIRO. 255	VILA PROGRESSO	SEM DISTRITO		SOROCABA	SP	18090-360		0	0	42095	42430	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	PRONTO	731.43		1	1	R3 da matrícula N° 135.302	Espaco Gourmet.	ALICE	ALICE EMPREENDIMENTOS	ALICE EMPREENDIMENTOS				ALICE EMPREENDIMENTOS		CASABRANCA MERCADO IMOBILIARIO					2 DORMS	2	1	2	2	73	109.05	10	4	5	304.322	263110	3604.25	314376.14	4306.53	318193.34	4358.82	303801.81	4161.67	280000	3835.62	100	0	10	0	2631100	Preço Fechado				43069";
"36231716	3	ALTOS DO PACO		SOROCABA - SP	R JOSE RUSCONI FRANCISCO. 150	JARDIM DO PACO	SEM DISTRITO		SOROCABA	SP	18087-095	ZPI	0	0	42614	42675	0	0	Res. Vertical	MEDIO BAIXO	PADRAO MEDIO-C/ELEVADOR	PRONTO	1200		1	1		Salao de Festas. Playground.	COMATT	COMATT CONSTRUTORA E INCORPORADORA	COMATT CONSTRUTORA E INCORPORADORA				COMATT CONSTRUTORA E INCORPORADORA		COMATT CONSTRUTORA E INCORPORADORA					2 DORMS	2	1	2	1	68.88	103.32	24	4	6	325.628	245000	3556.91	264506.87	3840.11	259883.63	3772.99	257576.52	3739.5	249000	3614.98	75	25	18	6	5880000	Preço de Custo				43361";
"32273218	4	ALVORADA		SOROCABA - SP	AV BETANIA. 800	JARDIM BETANIA	SEM DISTRITO		SOROCABA	SP	18071-590	ZR 3	0	0	42856	43525	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	830		1	1			L FURTADO	L FURTADO CONSTRUTORA	L FURTADO CONSTRUTORA				L FURTADO CONSTRUTORA		L FURTADO CONSTRUTORA	HAREA NEGOCIOS IMOBILIARIOS				TERREO	2	0	1	1	52	78	1	6	3	32.087	150480	2893.85	158377.12	3045.72	160632.98	3089.1	156530.56	3010.21	164990	3172.88	0	100	0	1	150480	Preço Fechado				43367";
"32273218	4	ALVORADA		SOROCABA - SP	AV BETANIA. 800	JARDIM BETANIA	SEM DISTRITO		SOROCABA	SP	18071-590	ZR 3	0	0	42856	43525	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	830		1	1			L FURTADO	L FURTADO CONSTRUTORA	L FURTADO CONSTRUTORA				L FURTADO CONSTRUTORA		L FURTADO CONSTRUTORA	HAREA NEGOCIOS IMOBILIARIOS				TERREO	2	0	1	1	50	75	4	6	3	32.087	149512	2990.24	157358.32	3147.17	159599.67	3191.99	155523.64	3110.47	171000	3420	100	0	4	0	598048	Preço Fechado				43367";
"32273218	4	ALVORADA		SOROCABA - SP	AV BETANIA. 800	JARDIM BETANIA	SEM DISTRITO		SOROCABA	SP	18071-590	ZR 3	0	0	42856	43525	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	830		1	1			L FURTADO	L FURTADO CONSTRUTORA	L FURTADO CONSTRUTORA				L FURTADO CONSTRUTORA		L FURTADO CONSTRUTORA	HAREA NEGOCIOS IMOBILIARIOS				1 DORM	1	0	1	1	42.2	63.3	3	6	3	32.087	131991	3127.75	138917.83	3291.89	140896.52	3338.78	137298.15	3253.51	149990	3554.27	666.666.666.666.667	333.333.333.333.333	2	1	395973	Preço Fechado				43367";
"32273218	4	ALVORADA		SOROCABA - SP	AV BETANIA. 800	JARDIM BETANIA	SEM DISTRITO		SOROCABA	SP	18071-590	ZR 3	0	0	42856	43525	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	830		1	1			L FURTADO	L FURTADO CONSTRUTORA	L FURTADO CONSTRUTORA				L FURTADO CONSTRUTORA		L FURTADO CONSTRUTORA	HAREA NEGOCIOS IMOBILIARIOS				2 DORMS	2	0	1	1	50	75	12	6	3	32.087	149512	2990.24	157358.32	3147.17	159599.67	3191.99	155523.64	3110.47	166990	3339.8	833.333.333.333.333	166.666.666.666.667	10	2	1794144	Preço Fechado				43367";
"32273218	4	ALVORADA		SOROCABA - SP	AV BETANIA. 800	JARDIM BETANIA	SEM DISTRITO		SOROCABA	SP	18071-590	ZR 3	0	0	42856	43525	0	0	Res. Vertical	ECONOMICO	PADRAO MEDIO-S/ELEVADOR	EM OBRAS	830		1	1			L FURTADO	L FURTADO CONSTRUTORA	L FURTADO CONSTRUTORA				L FURTADO CONSTRUTORA		L FURTADO CONSTRUTORA	HAREA NEGOCIOS IMOBILIARIOS				2 DORMS	2	0	1	1	52	78	3	6	3	32.087	150480	2893.85	158377.12	3045.72	160632.98	3089.1	156530.56	3010.21	168990	3249.81	666.666.666.666.667	333.333.333.333.333	2	1	451440	Preço Fechado				43367";
