RGI;(VMU)Preço de venda da unidade na data pesquisa;(VUV)Preço m2 privativo na data pesquisa;% Vendido no Intervalo;% Valorização;Unidades Vendidas no Intervalo;Intervalo em Mêses;% Unidades Vendidas;% Unidades a Vender;Unidades Vendidas;Qtd em Estoque;Data Pesquisa
8918;190300;3558.339566193;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;190300;3558.339566193;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;190300;3558.339566193;0.1538;0;4;-66;0.1538;0.8462;4;22;06/10/2015
8918;190300;3558.339566193;0.1538;0;4;-66;0.1538;0.8462;4;22;06/10/2015
8918;194200;3631.2640239342;0.1538;0.020493956910142;4;-124;0.1538;0.8462;4;22;03/12/2015
8918;194200;3631.2640239342;0.1538;0.020493956910142;4;-124;0.1538;0.8462;4;22;03/12/2015
8918;194200;3631.2640239342;0.1538;0.020493956910142;4;-198;0.1538;0.8462;4;22;15/02/2016
8918;194200;3631.2640239342;0.1538;0.020493956910142;4;-198;0.1538;0.8462;4;22;15/02/2016
8918;189900;3550.8601346298;0.1538;-0.0021019442984761;4;-235;0.1538;0.8462;4;22;23/03/2016
8918;189900;3550.8601346298;0.1538;-0.0021019442984761;4;-235;0.1538;0.8462;4;22;23/03/2016
8918;197600;3694.8391922214;0.2308;0.038360483447189;6;-262;0.2308;0.7692;6;20;19/04/2016
8918;197600;3694.8391922214;0.2308;0.038360483447189;6;-262;0.2308;0.7692;6;20;19/04/2016
8918;197600;3694.8391922214;0.2308;0.038360483447189;6;-291;0.2308;0.7692;6;20;18/05/2016
8918;197600;3694.8391922214;0.2308;0.038360483447189;6;-291;0.2308;0.7692;6;20;18/05/2016
8918;197600;3694.8391922214;0.2692;0.038360483447189;7;-333;0.2692;0.7308;7;19;29/06/2016
8918;197600;3694.8391922214;0.2692;0.038360483447189;7;-333;0.2692;0.7308;7;19;29/06/2016
8918;197600;3694.8391922214;0.2692;0.038360483447189;7;-352;0.2692;0.7308;7;19;18/07/2016
8918;197600;3694.8391922214;0.2692;0.038360483447189;7;-352;0.2692;0.7308;7;19;18/07/2016
8918;197600;3694.8391922214;0.3077;0.038360483447189;8;-391;0.3077;0.6923;8;18;26/08/2016
8918;197600;3694.8391922214;0.3077;0.038360483447189;8;-391;0.3077;0.6923;8;18;26/08/2016
8918;197600;3694.8391922214;0.3462;0.038360483447189;9;-418;0.3462;0.6538;9;17;22/09/2016
8918;197600;3694.8391922214;0.3462;0.038360483447189;9;-418;0.3462;0.6538;9;17;22/09/2016
8918;197600;3694.8391922214;0.3462;0.038360483447189;9;-460;0.3462;0.6538;9;17;03/11/2016
8918;197600;3694.8391922214;0.3462;0.038360483447189;9;-460;0.3462;0.6538;9;17;03/11/2016
8918;197600;3694.8391922214;0.3846;0.038360483447189;10;-516;0.3846;0.6154;10;16;29/12/2016
8918;197600;3694.8391922214;0.3846;0.038360483447189;10;-516;0.3846;0.6154;10;16;29/12/2016
8918;197600;3694.8391922214;0.3846;0.038360483447189;10;-521;0.3846;0.6154;10;16;03/01/2017
8918;197600;3694.8391922214;0.3846;0.038360483447189;10;-521;0.3846;0.6154;10;16;03/01/2017
8918;197600;3694.8391922214;0.3846;0.038360483447189;10;-583;0.3846;0.6154;10;16;06/03/2017
8918;197600;3694.8391922214;0.3846;0.038360483447189;10;-583;0.3846;0.6154;10;16;06/03/2017
8918;197600;3694.8391922214;0.4231;0.038360483447189;11;-643;0.4231;0.5769;11;15;05/05/2017
8918;197600;3694.8391922214;0.4231;0.038360483447189;11;-643;0.4231;0.5769;11;15;05/05/2017
8918;197600;3694.8391922214;0.9615;0.038360483447189;25;-795;0.9615;0.0385;25;1;04/10/2017
8918;197600;3694.8391922214;0.9615;0.038360483447189;25;-795;0.9615;0.0385;25;1;04/10/2017
8918;197600;3694.8391922214;1;0.038360483447189;26;-943;1;0;26;0;01/03/2018
8918;197600;3694.8391922214;1;0.038360483447189;26;-943;1;0;26;0;01/03/2018
8918;177600;3644.5721321568;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;177600;3644.5721321568;0.0769;0;2;-5;0.0769;0.9231;2;24;06/08/2015
8918;177600;3644.5721321568;0.1154;0;3;-66;0.1154;0.8846;3;23;06/10/2015
8918;177600;3644.5721321568;0.1154;0;3;-66;0.1154;0.8846;3;23;06/10/2015
8918;185100;3798.4814282783;0.1154;0.04222972972973;3;-124;0.1154;0.8846;3;23;03/12/2015
8918;185100;3798.4814282783;0.1154;0.04222972972973;3;-124;0.1154;0.8846;3;23;03/12/2015
8918;185100;3798.4814282783;0.1154;0.04222972972973;3;-198;0.1154;0.8846;3;23;15/02/2016
8918;185100;3798.4814282783;0.1154;0.04222972972973;3;-198;0.1154;0.8846;3;23;15/02/2016
8918;179900;3691.7709829674;0.1538;0.012950450450451;4;-235;0.1538;0.8462;4;22;23/03/2016
